Classifier initialized!

Categories returned: 965

INDEX: 218 | DISPLAY: Cyanerpes cyaneus | CATEGORY: /m/05920t | SCORE: 0.0
INDEX: 882 | DISPLAY: Haliaeetus leucogaster | CATEGORY: /m/01cn54 | SCORE: 0.0
INDEX: 442 | DISPLAY: Vanellus miles | CATEGORY: /m/029jjb | SCORE: 0.0
INDEX: 890 | DISPLAY: Mimus polyglottos | CATEGORY: /m/022q6f | SCORE: 0.0
INDEX: 26 | DISPLAY: Branta leucopsis | CATEGORY: /m/01cbcd | SCORE: 0.0
INDEX: 898 | DISPLAY: Amazona autumnalis | CATEGORY: /m/0cbrcb | SCORE: 0.0
INDEX: 450 | DISPLAY: Larus delawarensis | CATEGORY: /m/01xfy_ | SCORE: 0.0
INDEX: 226 | DISPLAY: Ortalis vetula | CATEGORY: /m/0dbtf5 | SCORE: 0.0
INDEX: 906 | DISPLAY: Pelecanus occidentalis carolinensis | CATEGORY: /m/059d8wc | SCORE: 0.0
INDEX: 454 | DISPLAY: Larus californicus | CATEGORY: /m/037lsy | SCORE: 0.0
INDEX: 910 | DISPLAY: Parabuteo unicinctus | CATEGORY: /m/02vz57 | SCORE: 0.0
INDEX: 914 | DISPLAY: Thamnophilus doliatus | CATEGORY: /m/065q78 | SCORE: 0.0
INDEX: 458 | DISPLAY: Trogon citreolus | CATEGORY: /m/02w8y_v | SCORE: 0.0
INDEX: 918 | DISPLAY: Phalacrocorax varius varius | CATEGORY: /g/11cs9lx1d6 | SCORE: 0.0
INDEX: 922 | DISPLAY: Sula granti | CATEGORY: /m/09hcjw | SCORE: 0.0
INDEX: 114 | DISPLAY: Catharus minimus | CATEGORY: /m/023973 | SCORE: 0.0
INDEX: 230 | DISPLAY: Thraupis palmarum | CATEGORY: /m/063mvh | SCORE: 0.0
INDEX: 462 | DISPLAY: Anthornis melanura | CATEGORY: /m/0506w3 | SCORE: 0.0
INDEX: 926 | DISPLAY: Phoenicopterus roseus | CATEGORY: /m/018zf1 | SCORE: 0.0
INDEX: 930 | DISPLAY: Oxyura jamaicensis | CATEGORY: /m/01n3s_ | SCORE: 0.0
INDEX: 466 | DISPLAY: Geranoaetus albicaudatus | CATEGORY: /m/0dfnmm | SCORE: 0.0
INDEX: 934 | DISPLAY: Ramphastos ambiguus | CATEGORY: /m/0g1j3h | SCORE: 0.0
INDEX: 938 | DISPLAY: Contopus sordidulus | CATEGORY: /m/025bct | SCORE: 0.0
INDEX: 234 | DISPLAY: Junco hyemalis oreganus | CATEGORY: /g/11cs9m3t20 | SCORE: 0.0
INDEX: 470 | DISPLAY: Lanius excubitor | CATEGORY: /m/01c4ct | SCORE: 0.0
INDEX: 942 | DISPLAY: Contopus pertinax | CATEGORY: /m/0269tlv | SCORE: 0.0
INDEX: 946 | DISPLAY: Onychognathus morio | CATEGORY: /m/0272vr8 | SCORE: 0.0
INDEX: 474 | DISPLAY: Stercorarius pomarinus | CATEGORY: /m/01zlcz | SCORE: 0.0
INDEX: 950 | DISPLAY: Trogon caligatus | CATEGORY: /m/0b6dfd3 | SCORE: 0.0
INDEX: 954 | DISPLAY: Corvus frugilegus | CATEGORY: /m/0129nn | SCORE: 0.0
INDEX: 58 | DISPLAY: Dryocopus lineatus | CATEGORY: /m/05yn53 | SCORE: 0.0
INDEX: 118 | DISPLAY: Nestor meridionalis septentrionalis | CATEGORY: 413489 | SCORE: 0.0
INDEX: 238 | DISPLAY: Merops pusillus | CATEGORY: /m/01k3sk | SCORE: 0.0
INDEX: 478 | DISPLAY: Alca torda | CATEGORY: /m/01vs4j | SCORE: 0.0
INDEX: 958 | DISPLAY: Columba livia domestica | CATEGORY: /m/03bwzqd | SCORE: 0.0
INDEX: 962 | DISPLAY: Ardenna creatopus | CATEGORY: /m/0g51vb | SCORE: 0.0
INDEX: 512 | DISPLAY: Falco novaeseelandiae | CATEGORY: /m/02ksg7 | SCORE: 0.0
INDEX: 256 | DISPLAY: Plectrophenax nivalis | CATEGORY: /m/01jwsn | SCORE: 0.0
INDEX: 516 | DISPLAY: Herpetotheres cachinnans | CATEGORY: /m/057mn1 | SCORE: 0.0
INDEX: 128 | DISPLAY: Pyrrhula pyrrhula | CATEGORY: /m/01_x96 | SCORE: 0.0
INDEX: 520 | DISPLAY: Mycteria americana | CATEGORY: /m/02s231 | SCORE: 0.0
INDEX: 260 | DISPLAY: Regulus regulus | CATEGORY: /m/01x8h1 | SCORE: 0.0
INDEX: 523 | DISPLAY: Ephippiorhynchus senegalensis | CATEGORY: /m/050nx8 | SCORE: 0.0
INDEX: 64 | DISPLAY: Tachybaptus dominicus | CATEGORY: /m/06f1jm | SCORE: 0.0
INDEX: 528 | DISPLAY: Coragyps atratus | CATEGORY: /m/01blnh | SCORE: 0.0
INDEX: 264 | DISPLAY: Aulacorhynchus prasinus | CATEGORY: /m/087x92 | SCORE: 0.0
INDEX: 532 | DISPLAY: Gymnogyps californianus | CATEGORY: /m/01sp53 | SCORE: 0.0
INDEX: 132 | DISPLAY: Sporophila torqueola | CATEGORY: /m/02q12xm | SCORE: 0.0
INDEX: 536 | DISPLAY: Charadrius melodus | CATEGORY: /m/01pbzc | SCORE: 0.0
INDEX: 268 | DISPLAY: Tyrannus dominicensis | CATEGORY: /m/06r94d | SCORE: 0.0
INDEX: 540 | DISPLAY: Eumomota superciliosa | CATEGORY: /m/09m305 | SCORE: 0.0
INDEX: 32 | DISPLAY: Megarynchus pitangua | CATEGORY: /m/0565xv | SCORE: 0.0
